"ID","step","angle","x","y","doy","tod","timestamp"
"Animal1",0.252384196823867,NA,-4.923887,6.855152,243,6,"2018-08-31 10:01:06.000"
"Animal1",0.162675302016129,0.123393758244182,-4.924251,6.852899,243,7,"2018-08-31 12:00:36.000"
"Animal1",1.12656735110216,2.95541067314443,-4.924305,6.851429,243,8,"2018-08-31 14:00:50.000"
"Animal1",0.135002224077163,-1.88254411483473,-4.922052,6.861364,243,9,"2018-08-31 16:00:34.000"
"Animal1",0.680776863496854,1.99006138721773,-4.921001,6.860742,243,10,"2018-08-31 18:01:31.000"
"Animal1",1.55658232312932,-0.98975967978882,-4.920292,6.866857,243,11,"2018-08-31 20:00:55.000"
"Animal1",0.884062696522015,-0.0336696657499677,-4.907708,6.873177,243,12,"2018-08-31 22:01:24.000"
"Animal1",0.621328935030469,1.00480429937188,-4.900444,6.876524,244,1,"2018-09-01 00:01:25.000"
"Animal1",0.640959906694896,-0.767716613620679,-4.899693,6.882092,244,2,"2018-09-01 02:02:31.000"
"Animal1",0.802553326393065,1.13587918750363,-4.895144,6.885687,244,3,"2018-09-01 04:00:37.000"
"Animal1",0.873052166657916,-1.74653419473795,-4.896829,6.892746,244,4,"2018-09-01 06:01:25.000"
"Animal1",0.626044039404758,-3.1128367523374,-4.888943,6.893207,244,5,"2018-09-01 08:00:44.000"
"Animal1",0.131064658663453,0.820498868195699,-4.894586,6.892714,244,6,"2018-09-01 10:00:36.000"
"Animal1",0.192967309943672,-2.29941202593995,-4.895316,6.89178,244,7,"2018-09-01 12:01:01.000"
"Animal1",0.826958031729486,-1.78424007480276,-4.895627,6.893497,244,8,"2018-09-01 14:00:35.000"
"Animal1",0.580167335524616,0.105916114802955,-4.888149,6.89324,244,9,"2018-09-01 16:01:25.000"
"Animal1",2.74085828332597,-1.88214913353767,-4.882913,6.893615,244,10,"2018-09-01 18:00:37.000"
"Animal1",3.4366224737614,0.786659894664727,-4.888803,6.86954,244,11,"2018-09-01 20:00:49.000"
"Animal1",1.05824710902633,1.31042863671817,-4.872635,6.842996,244,12,"2018-09-01 22:01:49.000"
"Animal1",0.227105646552981,0.640092001740989,-4.863451,6.8457,245,1,"2018-09-02 00:00:37.000"
"Animal1",0.689715220956359,-0.764236880349767,-4.862217,6.847342,245,2,"2018-09-02 02:01:50.000"
"Animal1",1.05543989365131,-2.41796615936646,-4.856059,6.84835,245,3,"2018-09-02 04:01:07.000"
"Animal1",1.68412406688942,1.07641453476023,-4.862099,6.840958,245,4,"2018-09-02 06:01:37.000"
"Animal1",0.091426036755568,1.1271729949941,-4.856284,6.826882,245,5,"2018-09-02 08:01:02.000"
"Animal1",0.207945908622859,2.08390367445644,-4.855458,6.826839,245,6,"2018-09-02 10:00:54.000"
"Animal1",0.686567587432077,-2.26726824799069,-4.856295,6.828523,245,7,"2018-09-02 12:02:32.000"
"Animal1",0.149883075980769,-0.171993540714525,-4.850255,6.827075,245,8,"2018-09-02 14:01:06.000"
"Animal1",0.362270660684014,0.793628775075052,-4.84901,6.826538,245,9,"2018-09-02 16:00:50.000"
"Animal1",2.00230016227462,2.77782021497402,-4.845974,6.827772,245,10,"2018-09-02 18:01:36.000"
"Animal1",1.8195358902267,0.132027691869682,-4.864084,6.827365,245,11,"2018-09-02 20:01:55.000"
"Animal1",1.46481635231582,-1.31475510806001,-4.880349,6.824833,246,1,"2018-09-03 00:01:01.000"
"Animal1",6.53428204013817,0.772910445960676,-4.885638,6.836978,246,2,"2018-09-03 02:01:20.000"
"Animal1",0.470975351284278,1.07860728242023,-4.940377,6.859294,246,3,"2018-09-03 04:00:34.000"
"Animal1",0.277506752133232,1.40803794904145,-4.94366,6.856579,246,4,"2018-09-03 06:01:20.000"
"Animal1",0.619578826012471,-3.11590150927805,-4.942394,6.854412,246,5,"2018-09-03 08:00:35.000"
"Animal1",0.364075892171829,0.513606638847119,-4.945344,6.859176,246,6,"2018-09-03 10:00:37.000"
"Animal1",0.246747742932006,-2.32559442977516,-4.94823,6.860763,246,7,"2018-09-03 12:01:54.000"
"Animal1",0.109945442870514,-1.12142961196142,-4.946106,6.86145,246,8,"2018-09-03 14:01:32.000"
"Animal1",0.519335484280381,2.75582503062784,-4.945419,6.860731,246,9,"2018-09-03 16:00:55.000"
"Animal1",0.243594104124191,-1.58396431751736,-4.947147,6.865098,246,10,"2018-09-03 18:00:35.000"
"Animal1",0.668590377492542,0.403441687556753,-4.945087,6.865881,246,11,"2018-09-03 20:01:24.000"
"Animal1",0.236786742206004,0.146611659620435,-4.940731,6.870076,246,12,"2018-09-03 22:02:06.000"
